uri	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	album_popularity	release_date	total_tracks	album_uri	artist_uri	artist_popularity
spotify:track:3lw0CSMQ88LcN0ZMP6DlWi	0.255	0.394	2	-12.609	1	0.0309	0.653	0.1	0.148	0.267	145.315	214227	3	68	2009	13	spotify:album:06UoTVgpPiGnRPGjowrG3g	spotify:artist:5sXaGoRLSpd7VeyZrLkKwt	68
spotify:track:3nAq2hCr1oWsIU54tS98pL	0.557	0.586	10	-4.57	1	0.0382	0.0528	0.00000733	0.339	0.0681	96.091	181573	4	81	2016	20	spotify:album:7gsWAHLeT0w7es6FofOXk1	spotify:artist:5K4W6rqBFWDnAN6FQUkS6x	92
spotify:track:3pRaLNL3b8x5uBOcsgvdqM	0.324	0.136	0	-10.33	1	0.0318	0.931	0.00117	0.176	0.0831	97.256	413827	3	69	1994	11	spotify:album:7yQtjAjhtNi76KRu05XWFS	spotify:artist:3nnQpaTvKb5jCQabZefACI	65
spotify:track:73CKjW3vsUXRpy3NnX4H7F	0.463	0.229	2	-12.592	1	0.0297	0.167	0.0997	0.202	0.135	73.543	290707	4	75	1995	12	spotify:album:35UJLpClj5EDrhpNIi4DFg	spotify:artist:4Z8W4fKeB5YxbusRsdQVPb	82
spotify:track:3qT4bUD1MaWpGrTwcvguhb	0.437	0.864	4	-7.842	0	0.0904	0.396	0.0314	0.242	0.749	81.394	295387	4	76	1971	16	spotify:album:44Ig8dzqOkvkGDzaUof9lK	spotify:artist:36QJpDe2go2KgaRleHCDTp	79
spotify:track:4gq2bc2770XvbJdEtfUbmw	0.43	0.393	11	-8.556	0	0.0311	0.883	0.782	0.131	0.0439	108.154	228236	4	0	2007	8	spotify:album:36lJLPoPPOKNFddTAcirnc	spotify:artist:4Z8W4fKeB5YxbusRsdQVPb	82
spotify:track:3rWZv4pUVvPkQLYm3ItGDv	0.504	0.607	10	-8.1	1	0.0323	0.456	0.573	0.0765	0.337	133.393	246643	3	45	2019	12	spotify:album:45RV070mrplPB5gMO6Q136	spotify:artist:6pmxr66tMAePxzOLfjGNcX	60
spotify:track:5POEFQCKtD0QxYLfZ2kqEx	0.76	0.828	1	-4.532	1	0.0789	0.0478	0.000427	0.0893	0.923	82.006	160507	4	57	2017	12	spotify:album:5h3WJG0aZjNOrayFu3MhCS	spotify:artist:68kEuyFKyqrdQQLLsmiatm	70
spotify:track:6ta5yavnnEfCE4faU0jebM	0.456	0.386	10	-10.293	1	0.032	0.835	0.108	0.389	0.612	165.733	154600	4	45	2006	12	spotify:album:5kT4P1c9Hq1OHuNw7sOupq	spotify:artist:2PKUc5LXsZNjqOpAZKcFgz	43
spotify:track:3tJjZMHLqhD8DaGgdBICnc	0.263	0.237	3	-13.738	1	0.0344	0.638	0.305	0.109	0.0461	73.024	289792	4	68	2014	30	spotify:album:1E9iqjfSf5I5hPNfI1DRIh	spotify:artist:0MeLMJJcouYXCymQSHPn8g	71
spotify:track:6MXXY2eiWkpDCezVCc0cMH	0.48	0.631	7	-5.488	1	0.116	0.0791	0.000105	0.149	0.515	84.164	195093	4	86	2007	14	spotify:album:4SZko61aMnmgvNhfhgTuD3	spotify:artist:5K4W6rqBFWDnAN6FQUkS6x	92
spotify:track:3uCkIqD0VzQUijbs8WIizs	0.401	0.13	5	-17.638	1	0.0312	0.989	0.305	0.101	0.213	93.091	210653	4	57	1967	10	spotify:album:6O62Cqi0YqOytEbFmeLyjU	spotify:artist:0IwlY33zbBXN7zlS9DP2Cj	61
spotify:track:3uxhyRdWVXp7GQvERQl6fA	0.581	0.384	9	-11.195	1	0.0336	0.697	0.813	0.0889	0.0466	77.412	279634	4	0	2007	10	spotify:album:7eyQXxuf2nGj9d2367Gi5f	spotify:artist:4Z8W4fKeB5YxbusRsdQVPb	82
spotify:track:3vMrcGW4o35zY6vXjWb1p7	0.321	0.215	9	-13.042	1	0.0334	0.861	0.00164	0.129	0.0451	117.797	273933	3	61	1999	13	spotify:album:6AyUVv7MnxxTuijp4WmrhO	spotify:artist:12Chz98pHFMPJEknJQMWvI	78
spotify:track:3vrf77zXDKaMN9WiikL7sM	0.511	0.263	7	-9.638	1	0.0361	0.957	0.0000288	0.123	0.323	120.906	193747	3	0	2010	11	spotify:album:3GX8o3aJcBUoUxibzVRp3T	spotify:artist:24gJ2GCq5zx1Mh08ZpmiSo	44
spotify:track:4O2aCfXPP9FfPoIPixwVBz	0.573	0.67	8	-11.437	0	0.0331	0.52	0.806	0.321	0.159	96.991	283057	4	27	2013	15	spotify:album:5S4tasGYxpQuSEWLYvgyQp	spotify:artist:2Tz1DTzVJ5Gyh8ZwVr6ekU	61
spotify:track:40dkVbHDhKjzRnlS2yzcdO	0.177	0.0975	2	-15.635	0	0.0438	0.933	0.000595	0.0829	0.0396	179.931	233987	1	0	2005	22	spotify:album:7j8lfKDdL7vE8OAM4cA3W3	spotify:artist:4MXUO7sVCaFgFjoTI5ox5c	73
spotify:track:5DTOOkooKFUvWj1XQTFa09	0.232	0.216	10	-10.674	1	0.0314	0.936	0.00000493	0.246	0.432	94.268	157573	3	55	1994	20	spotify:album:3KwArr7JHl7ykUNYrrja7N	spotify:artist:5b2OzvLaL6nyxw5pbVbSdy	50
spotify:track:43gcr2I2dOaOpKrUJJ22Ix	0.238	0.896	3	-5.039	1	0.117	0.51	0.0000496	0.352	0.461	129.912	226733	3	0	2006	11	spotify:album:6MQXgLKSXLb8SwZ4m7STNc	spotify:artist:6pmxr66tMAePxzOLfjGNcX	60
spotify:track:46elU7IBKWf55D5sjHGqO7	0.778	0.599	2	-4.758	1	0.032	0.0705	0	0.59	0.949	116.951	230319	4	67	2011	12	spotify:album:6Baavsh6HfNka1IyvPrr24	spotify:artist:1UdYhDdrXVNJMAKghjdU6v	46
spotify:track:4AA4xt0NvJCUaJYh9SoZ1y	0.446	0.263	11	-11.541	1	0.0403	0.199	0.000305	0.109	0.168	123.696	183895	4	62	2016	12	spotify:album:5eSbNHaPAkwpAuo9k0o2YU	spotify:artist:5QdyldG4Fl4TPiOIeMNpBZ	65
spotify:track:4EyPaNrpRDf2XYRvpfhgo9	0.83	0.879	7	-7.48	1	0.0772	0.291	0.631	0.203	0.983	99.052	40987	4	50	1995	78	spotify:album:2kOD9QzcUkeT57RJkNvQpH	spotify:artist:7cGkvEcOOYVtNdfkf3s1tK	45
spotify:track:7rU6Iebxzlvqy5t857bKFq	0.648	0.875	2	-5.141	0	0.034	0.0747	0.0000964	0.196	0.857	102.517	294493	4	58	2008	32	spotify:album:3lBX7AtzE4JoZaAIBLptRx	spotify:artist:3WwGRA2o4Ux1RRMYaYDh7N	59
spotify:track:7Lf7oSEVdzZqTA0kEDSlS5	0.624	0.654	8	-6.582	0	0.183	0.577	0	0.104	0.564	73.898	288333	4	74	2002	13	spotify:album:6QPkyl04rXwTGlGlcYaRoW	spotify:artist:31TPClRtHm23RisEBtV3X7	82
spotify:track:4IFiguNcYCsT9pQ00mtXqp	0.728	0.684	5	-6.619	0	0.274	0.0365	0.012	0.628	0.516	83.383	224448	4	33	2021	16	spotify:album:6BPnpoZmdfi2EqfXTjCRJY	spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM	69
spotify:track:5Z9KJZvQzH6PFmb8SNkxuk	0.741	0.691	10	-7.395	0	0.0672	0.0221	0	0.0476	0.892	150.087	212353	4	82	2021	15	spotify:album:6pOiDiuDQqrmo5DbG0ZubR	spotify:artist:7jVv8c5Fj3E9VhNjxT4snq	83
spotify:track:4J8rl3iuh7Dw9F0JI3OJKt	0.419	0.0596	8	-20.394	0	0.0415	0.977	0.883	0.113	0.168	83.16	103799	3	0	2016	28	spotify:album:358HhLekPvkg13A1dDPfhT	spotify:artist:7rSMEcqv4Ez0OLgJKDjrvq	50
spotify:track:54KFQB6N4pn926IUUYZGzK	0.264	0.122	9	-15.399	1	0.0349	0.885	0.349	0.094	0.0735	148.658	371320	4	68	2007	11	spotify:album:5cPHT4yMCfETLRYAoBFcOZ	spotify:artist:32ogthv0BdaSMPml02X9YB	66
spotify:track:4JvclO8lNugobD1afavcYS	0.437	0.533	1	-9.552	1	0.0426	0.782	0.0142	0.134	0.638	131.155	230200	4	0	2007	13	spotify:album:0MhyPFZNeRRP0ian13SOTp	spotify:artist:6pmxr66tMAePxzOLfjGNcX	60
spotify:track:70C4NyhjD5OZUMzvWZ3njJ	0.331	0.55	0	-6.483	1	0.0272	0.605	0.00000396	0.192	0.429	177.734	339000	3	68	1973	33	spotify:album:69wjSAZXZiD2EBia3b3gxL	spotify:artist:6zFYqv1mOsgBRQbae3JJ9e	78
spotify:track:6eTGxxQxiTFE6LfZHC33Wm	0.312	0.543	11	-9.875	1	0.0308	0.0356	0.225	0.128	0.178	140.109	270013	4	51	2005	11	spotify:album:3sE83l3A58DipFp3EzNLiE	spotify:artist:6UUrUCIZtQeOf8tC0WuzRy	58
spotify:track:5IafdoRLyaGPeeA6f8ysIe	0.303	0.129	6	-15.069	1	0.0301	0.89	0.00776	0.123	0.155	84.167	118933	4	0	1999	18	spotify:album:3tnzZhTTjRTExYc9odG0dt	spotify:artist:62sC6lUEWRjbFqXpMmOk4G	59
spotify:track:4OciRObYGzPzlU40U7YRc8	0.271	0.714	7	-5.124	1	0.0329	0.392	0	0.115	0.239	94.158	202347	3	0	1998	11	spotify:album:5COXoP5kj2DWfCDg0vxi4F	spotify:artist:2ooIqOf4X2uz4mMptXCtie	60
spotify:track:5CQ30WqJwcep0pYcV4AMNc	0.338	0.34	9	-12.049	0	0.0339	0.58	0.0032	0.116	0.197	82.433	482830	4	76	1971	16	spotify:album:44Ig8dzqOkvkGDzaUof9lK	spotify:artist:36QJpDe2go2KgaRleHCDTp	79
spotify:track:78lgmZwycJ3nzsdgmPPGNx	0.564	0.932	11	-10.068	1	0.0554	0.013	0.169	0.349	0.619	112.937	146250	4	72	1970	10	spotify:album:6P5QHz4XtxOmS5EuiGIPut	spotify:artist:36QJpDe2go2KgaRleHCDTp	79
spotify:track:6ORqU0bHbVCRjXm9AjyHyZ	0.475	0.432	7	-7.844	1	0.0302	0.183	0	0.161	0.648	94.605	153467	4	71	1997	18	spotify:album:3x2uer6Xh0d5rF8toWpRDA	spotify:artist:7oPftvlwr6VrsViSDV7fJY	81
spotify:track:4yzozDNjvW7acuGonXwfvA	0.551	0.386	9	-8.958	0	0.0274	0.0856	0.00226	0.133	0.379	142.047	214587	4	63	2013	10	spotify:album:5T5NM01392dvvd4EhGrCnj	spotify:artist:4pejUc4iciQfgdX6OKulQn	71
spotify:track:4eruRiSfDY1jdT03hjyi0i	0.479	0.407	1	-12.428	0	0.0346	0.912	0.401	0.11	0.338	91.91	306581	4	0	2016	11	spotify:album:6vuykQgDLUCiZ7YggIpLM9	spotify:artist:4Z8W4fKeB5YxbusRsdQVPb	82
spotify:track:6y20BV5L33R8YXM0YuI38N	0.509	0.584	0	-4.907	1	0.057	0.0368	0.0000996	0.384	0.685	170.411	278747	4	69	2002	16	spotify:album:4w3NeXtywU398NYW4903rY	spotify:artist:4pejUc4iciQfgdX6OKulQn	71
spotify:track:4g3Ax56IslQkI6XVfYKVc5	0.64	0.755	1	-4.077	0	0.0287	0.0138	0.0208	0.12	0.744	116.883	216319	4	0	2015	13	spotify:album:0rxKf57PZvWEoU8v3m5W2q	spotify:artist:5INjqkS1o8h1imAzPqGZBb	82
spotify:track:53PkA8aXiwH4ppa0V0iO7o	0.58	0.622	5	-12.005	1	0.0352	0.0192	0.653	0.648	0.781	169.442	349693	4	51	2017	10	spotify:album:4AF1M7bGCFL3LHCtXUUXw5	spotify:artist:066X20Nz7iquqkkCW6Jxy6	61
spotify:track:6V9PDDZ2pHQCUleRXvRYQ1	0.441	0.435	11	-8.457	0	0.0261	0.389	0.0974	0.0982	0.487	155.19	239227	3	0	2017	23	spotify:album:4ENxWWkPImVwAle9cpJ12I	spotify:artist:4Z8W4fKeB5YxbusRsdQVPb	82
spotify:track:4hXHlAc9ZOJY5pGbdfuWsa	0.512	0.67	3	-5.792	1	0.027	0.034	0	0.309	0.446	105.957	387170	4	58	2013	10	spotify:album:76ok2HKEfqZ8FaAy6JpCNp	spotify:artist:4YRxDV8wJFPHPTeXepOstw	91
spotify:track:4iG2gAwKXsOcijVaVXzRPW	0.438	0.94	2	-3.249	1	0.0452	0.0000874	0.0777	0.3	0.421	100.99	261000	3	75	2007	10	spotify:album:6mm1Skz3JE6AXneya9Nyiv	spotify:artist:0SwO7SWeDHJijQ3XNS7xEE	76
spotify:track:6vzkD6LA8mtbFscSWqP9MO	0.404	0.497	0	-9.456	1	0.0335	0.255	0.00132	0.144	0.313	180.93	276181	4	37	2021	23	spotify:album:7kl5L5YALHVGC2rW14bWm5	spotify:artist:51Blml2LZPmy7TTiAg47vQ	80
spotify:track:65E62rOSbm7SZbAMYjNTJq	0.458	0.843	4	-7.201	1	0.0316	0.00135	0.000296	0.778	0.713	105.701	228427	4	61	1984	26	spotify:album:6akaB3XfTnCwrY4DahsBCY	spotify:artist:51Blml2LZPmy7TTiAg47vQ	80
spotify:track:4ifTvd6kczZvB6jDAheTwI	0.713	0.397	3	-12.105	1	0.0931	0.99	0.492	0.277	0.969	90.003	114187	3	50	1995	78	spotify:album:2kOD9QzcUkeT57RJkNvQpH	spotify:artist:7cGkvEcOOYVtNdfkf3s1tK	45
spotify:track:5Pf5HwjqLAbYDVBQU7H7Oz	0.332	0.596	9	-5.607	0	0.0521	0.0372	0.413	0.298	0.0996	140.104	352347	4	54	2014	13	spotify:album:4G3ZBFg8MpTSDxDQ3m2BCb	spotify:artist:5WoWlP0ihSFIxnppxjwSgE	57
spotify:track:6ADSaE87h8Y3lccZlBJdXH	0.54	0.429	2	-11.822	1	0.0285	0.000202	0.355	0.141	0.113	110.171	295516	4	77	1987	49	spotify:album:5y6wlw1LnqFnQFruMeiwGU	spotify:artist:51Blml2LZPmy7TTiAg47vQ	80
spotify:track:4l86U8arITFVBfDvYn82v7	0.19	0.725	7	-6.181	0	0.0607	0.302	0.00447	0.0801	0.313	211.116	278773	3	0	2015	11	spotify:album:2A8IKX257C4hJaYUHMhLP7	spotify:artist:2kGBy2WHvF0VdZyqiVCkDT	64
spotify:track:4ndBp2Mm0oBNOdjyQvJ9jz	0.502	0.114	0	-12.963	1	0.0366	0.961	0.172	0.124	0.221	79.046	294213	3	0	1990	12	spotify:album:7h4VPRS9s2IXwcLkeSekEb	spotify:artist:1jeYbk5eqo6wgsQPjLeU5w	48
spotify:track:5nxZyKwgnwKYxtcFRlwZyV	0.348	0.263	0	-8.531	1	0.0516	0.835	0.654	0.129	0.12	74.517	236000	4	17	2011	10	spotify:album:4GS6xuURUvS62vqAnA6iHT	spotify:artist:1Z2KInfSmPOzAIYyiaXeti	47
spotify:track:4pbJqGIASGPr0ZpGpnWkDn	0.692	0.497	2	-7.316	1	0.119	0.676	0	0.259	0.475	81.308	122067	4	73	1977	11	spotify:album:7tB40pGzj6Tg0HePj2jWZt	spotify:artist:1dfeR4HaWDbWqFHLkxsg1d	87
spotify:track:59WN2psjkt1tyaxjspN8fp	0.466	0.833	7	-4.215	1	0.304	0.0266	0	0.0327	0.661	88.785	313573	4	74	1992	25	spotify:album:4Io5vWtmV1rFj4yirKb4y4	spotify:artist:2d0hyoQ5ynDBnkvAbJKORj	73
spotify:track:4qBHDoJFUUSvTa4aZJfEuw	0.621	0.569	5	-7.318	1	0.0297	0.928	0.0356	0.115	0.402	110.022	257480	4	0	2006	11	spotify:album:6MQXgLKSXLb8SwZ4m7STNc	spotify:artist:6pmxr66tMAePxzOLfjGNcX	60
spotify:track:5fDGmTJQnPhijhyG6tRR15	0.327	0.328	7	-12.023	1	0.0384	0.728	0.89	0.114	0.0726	103.687	287107	4	42	2013	10	spotify:album:4K71YbvB0dq9tfym242YDh	spotify:artist:5hAhrnb0Ch4ODwWu4tsbpi	59
spotify:track:4rDbp1vnvEhieiccprPMdI	0.406	0.698	8	-7.024	1	0.0624	0.186	0	0.233	0.333	109.266	296480	3	69	1976	15	spotify:album:4KZGe18wZJbXL6JLW4KyLc	spotify:artist:1dfeR4HaWDbWqFHLkxsg1d	87
spotify:track:4riBORG5X5kvQThwODPDDh	0.708	0.771	2	-9.022	0	0.0394	0.00721	0.164	0.277	0.371	92.986	237419	4	50	2020	8	spotify:album:5nmyvbXT1vidBeMdbE6EcB	spotify:artist:5oOhM2DFWab8XhSdQiITry	59
spotify:track:5HLes17mwCwKt81mi0Tk35	0.27	0.83	7	-4.592	1	0.0741	0.00956	0.434	0.142	0.205	117.314	196560	4	29	2014	9	spotify:album:4PrBMzWzzoMOwm55Bfo3dt	spotify:artist:3kzwYV3OCB010YfXMF0Avt	63
spotify:track:4sLGaMl33I6mcsk7u4xHAU	0.327	0.128	2	-17.536	0	0.0301	0.841	0.76	0.13	0.0648	58.993	287067	4	0	2011	8	spotify:album:1DBkJIEoeHrTX4WCBQGcCi	spotify:artist:4Z8W4fKeB5YxbusRsdQVPb	82
spotify:track:4vpeKl0vMGdAXpZiQB2Dtd	0.551	0.293	2	-12.503	1	0.0272	0.486	0.000273	0.0864	0.322	106.798	150640	4	69	1967	17	spotify:album:6lPb7Eoon6QPbscWbMsk6a	spotify:artist:2qFr8w5sWUITRlzZ9kZotF	63
spotify:track:6RtzmszGXs32TRhv5zTKNM	0.44	0.803	8	-5.415	1	0.0443	0.199	0.00282	0.0591	0.501	151.777	397093	4	86	2016	16	spotify:album:4UlGauD7ROb3YbVOFMgW5u	spotify:artist:5pKCCKE2ajJHZ9KAiaK11H	92
spotify:track:51ygW389BW4Dut3B69pSwc	0.668	0.477	4	-8.709	0	0.0358	0.517	0.446	0.139	0.0966	88.005	228747	4	0	2007	10	spotify:album:7eyQXxuf2nGj9d2367Gi5f	spotify:artist:4Z8W4fKeB5YxbusRsdQVPb	82
spotify:track:6bGwloiyyHXwFZ4yV1zjqR	0.829	0.563	7	-7.082	1	0.254	0.0249	0	0.0967	0.469	120.965	205867	4	0	2016	14	spotify:album:7q1uNF3HT1wTjxuMW0rFJn	spotify:artist:4RnBFZRiMLRyZy0AzzTg2C	63
spotify:track:55agfs0AP02LB7TUx4vxc8	0.171	0.00372	8	-32.128	1	0.057	0.795	0.96	0.0879	0.0663	116.854	238000	4	42	1990	11	spotify:album:57ObW7qW6CN1CWLXV5DOGb	spotify:artist:5HcunTidTUrOaf8V0iJcvl	67
spotify:track:5v8aEcHcaJIGYpfVVPtJjI	0.568	0.569	7	-6.013	0	0.0329	0.0004	0.102	0.342	0.266	72.991	193080	4	65	2013	3	spotify:album:4hRjuAxpm9X6h1H95QVgJ9	spotify:artist:77SW9BnxLY8rJ0RciFqkHh	86
spotify:track:56SaJxdWjVRcpOJrVW1871	0.37	0.713	7	-5.249	0	0.0312	0.211	0.953	0.166	0.0992	161.951	238093	4	50	1995	78	spotify:album:2kOD9QzcUkeT57RJkNvQpH	spotify:artist:7cGkvEcOOYVtNdfkf3s1tK	45
spotify:track:56Z7hbyMrndw1naxb6I5Oi	0.518	0.656	4	-7.438	0	0.0264	0.511	0.156	0.0679	0.203	104.282	290213	4	0	2007	10	spotify:album:7eyQXxuf2nGj9d2367Gi5f	spotify:artist:4Z8W4fKeB5YxbusRsdQVPb	82
spotify:track:57iDDD9N9tTWe75x6qhStw	0.356	0.917	9	-6.006	1	0.0479	0.0335	0	0.406	0.518	171.176	357267	4	72	1997	13	spotify:album:52AeC4gwbxDfFlLHgK1ByD	spotify:artist:2cGwlqi3k18jFpUyTrsR84	68
spotify:track:6zEvZ5Bip13TwMrheoZSju	0.44	0.778	1	-1.786	0	0.0327	0.0265	0.00000104	0.151	0.304	148.038	229347	4	0	2013	10	spotify:album:4kb0lu1IA0KLuwOrw7uD78	spotify:artist:26T3LtbuGT1Fu9m0eRq5X3	76
spotify:track:58KPPL1AdLHMvR2O2PZejr	0.3	0.929	1	-3.214	1	0.0636	0.000259	0.00000226	0.329	0.59	147.116	548253	4	76	2004	9	spotify:album:5dN7F9DV0Qg1XRdIgW8rke	spotify:artist:7oPftvlwr6VrsViSDV7fJY	81
spotify:track:6bnFjTW3EnMG4BwreDnSHK	0.374	0.0889	4	-17.475	1	0.0356	0.931	0.00000688	0.111	0.211	96.677	145133	4	53	1993	28	spotify:album:53Z6bXyBJ7tlRtMettF6Uq	spotify:artist:673J686eeEXMYJorgQ70lX	47
