track_id	track_name	track_popularity	album_id	artist_id	genre	country	artist_name	artist_popularity	album_name	album_popularity	release_date	acousticness	danceability	energy	instrumentalness	liveness	speechiness	valence
285pBltuF7vW8TeWk8hdRR	Lucid Dreams	85	6tkjU4Umpo79wwkgPMV3nZ	4MCBfE4596Uoi2O4DtmEMz	International	India	Juice WRLD	89	Goodbye & Good Riddance	89	2018	0.349	0.511	0.566	0.0	0.34	0.2	0.218
3sqRODOZ1Z6hR4F2tnFAlg	Sakhiyaan	71	2ja8ShVK2RtHqlxzXTRQ6J	2sN4fSzAm2rAL0HIurPCEM	Indie	USA	Maninder Buttar	62	Sakhiyaan	64	2018	0.3	0.706	0.674	0.0	0.202	0.044	0.359
1wtGtVfMHjeNfNLeNFVMK6	Waiting for the Moon to Rise	34	1y9ogzyvelDrhbnIiPqprm	4I2BJf80C0skQpp1sQmA0h	Hip-Hop	India	Belle and Sebastian	58	Fold Your Hands Child, You Walk Like a Peasant	31	2000	0.807	0.455	0.556	0.0103	0.156	0.0292	0.596
3bRcSxW2FnSSwrzoYT1knV	At Seventeen	0	0bRlXo4f7P0gF30G3RACTN	5c9uFWpZY2MTlk7Rft0tgp	Indie	USA	Janis Ian	44	Between The Lines	0	1975	0.888	0.599	0.164	0.000612	0.121	0.0475	0.317
5N22FteLZT3tgYABLAobu1	Funnel of Love	45	1qJy32qMSc0XxWyWVfOaLw	5ZKMPRDHc7qElVJFh3uRqB	Hip-Hop	India	Wanda Jackson	48	Heart Trouble	38	2003	0.0862	0.623	0.658	5.68e-05	0.173	0.0367	0.81
504gLMHaH2jakKbQymyJCp	Never	35	6lWSJdTy6i0wKU2y1g2uEN	5wvcZVW2R31CFqrx6BZkQE	International	USA	Larry Chance & The Earls	18	Back On the Streets of the Bronx	28	2007	0.799	0.483	0.458	0.000179	0.168	0.0301	0.523
3GNgik2UtPjHOhnoDi2U0H	Where Is the Love	0	4nDngjnbfvmE9I3L02hU4r	3Xa0P90KKnDRIuoMmdSCGc	International	South Korea	The Monzas	24	Hey! I Know You	0	2017	0.829	0.305	0.404	0.00267	0.329	0.0288	0.233
3DofkfU0559aayAElVjEIr	Laughing on the Outside	0	66w2ChYG8Ax41fw5JEMCs6	6QwBhFIOXWri9BNtwoIlKY	Indie	United Kingdom	Bernadette Carroll	41	Cleopatra Girls	0	2017	0.822	0.384	0.419	0.00152	0.267	0.0426	0.427
4PvVX27CitqLAamcc0PCRU	B	48	4IFpj2jyRcugt1yzH82m3E	0xOeVMOz2fVg5BJY3N6akT	Rock	USA	Jaden	68	SYRE	68	2017	0.227	0.515	0.391	0.0	0.355	0.0575	0.47
15hJmqqEtASVXl6sM7i4UF	trademark usa	74	3r46DPIQeBQbjvjjV5mXGg	5SXuuuRpukkTvsLuUknva1	Indie	India	Baby Keem	79	The Melodic Blue	82	2021	0.107	0.615	0.6	1.61e-06	0.283	0.27	0.0661
